player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Jackson Vroman,RET,,FORWARD-CENTER,82.0,220.0,Iowa State,USA,1981-06-06,https://www.nba.com/player/2761/jackson-vroman,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2761.png,False,2761,"['FORWARD', 'CENTER']",FORWARD,CENTER,2004,2,31,Drafted,vromaja01
Sasha Vujacic,RET,18,GUARD,79.0,195.0,Udine,Slovenia,1984-03-08,https://www.nba.com/player/2756/sasha-vujacic,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2756.png,False,2756,['GUARD'],GUARD,,2004,1,27,Drafted,vujacsa01
Tristan Vukcevic,WAS,00,FORWARD,84.0,220.0,Real Madrid,Italy,2003-03-11,https://www.nba.com/player/1641774/tristan-vukcevic,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641774.png,False,1641774,['FORWARD'],FORWARD,,2023,2,42,Drafted,vukcetr01
Nikola Vučević,CHI,9,CENTER,82.0,260.0,Southern California,Montenegro,1990-10-24,https://www.nba.com/player/202696/nikola-vucevic,True,False,False,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png,False,202696,['CENTER'],CENTER,,2011,1,16,Drafted,vuevini01
Dean Wade,CLE,32,FORWARD-CENTER,81.0,228.0,Kansas State,USA,1996-11-20,https://www.nba.com/player/1629731/dean-wade,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629731.png,False,1629731,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,wadede010
Dwyane Wade,RET,3,GUARD,76.0,220.0,Marquette,USA,1982-01-17,https://www.nba.com/player/2548/dwyane-wade,False,False,True,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2548.png,False,2548,['GUARD'],GUARD,,2003,1,5,Drafted,wadedw010
Mark Wade,RET,10,GUARD,71.0,160.0,UNLV,USA,1965-10-15,https://www.nba.com/player/78426/HISTADD-mark-wade,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78426.png,True,78426,['GUARD'],GUARD,,0,0,0,UDF,wadema010
Von Wafer,RET,1,GUARD,77.0,209.0,Florida State,USA,1985-07-21,https://www.nba.com/player/101144/von-wafer,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101144.png,False,101144,['GUARD'],GUARD,,2005,2,39,Drafted,wafervo01
Clint Wager,RET,17,CENTER,77.0,210.0,St. Mary's (MN),USA,1920-01-20,https://www.nba.com/player/78427/HISTADD-clint-wager,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78427.png,True,78427,['CENTER'],CENTER,,0,0,0,UDF,wagercl01
Dajuan Wagner,RET,,GUARD,75.0,200.0,Memphis,USA,1983-02-04,https://www.nba.com/player/2402/dajuan-wagner,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2402.png,False,2402,['GUARD'],GUARD,,2002,1,6,Drafted,wagneda01
Danny Wagner,RET,,GUARD,72.0,170.0,Texas,USA,1922-08-01,https://www.nba.com/player/78428/HISTADD-danny-wagner,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78428.png,True,78428,['GUARD'],GUARD,,0,0,0,UDF,wagneda02
Franz Wagner,ORL,22,FORWARD,82.0,220.0,Michigan,Germany,2001-08-27,https://www.nba.com/player/1630532/franz-wagner,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png,False,1630532,['FORWARD'],FORWARD,,2021,1,8,Drafted,wagnefr01
Milt Wagner,RET,25,GUARD,77.0,185.0,Louisville,USA,1963-02-20,https://www.nba.com/player/78429/HISTADD-milt-wagner,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78429.png,True,78429,['GUARD'],GUARD,,1986,1,35,Drafted,wagnemi01
Moritz Wagner,ORL,21,FORWARD-CENTER,83.0,245.0,Michigan,Germany,1997-04-26,https://www.nba.com/player/1629021/moritz-wagner,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629021.png,False,1629021,"['FORWARD', 'CENTER']",FORWARD,CENTER,2018,1,25,Drafted,wagnemo01
Ish Wainright,RET,12,FORWARD,77.0,250.0,Baylor,USA,1994-09-12,https://www.nba.com/player/1630688/ish-wainright,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630688.png,False,1630688,['FORWARD'],FORWARD,,0,0,0,UDF,wainris01
Dion Waiters,RET,18,GUARD,75.0,210.0,Syracuse,USA,1991-12-10,https://www.nba.com/player/203079/dion-waiters,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203079.png,False,203079,['GUARD'],GUARD,,2012,1,4,Drafted,waitedi01
Granville Waiters,RET,31,CENTER,83.0,225.0,Ohio State,USA,1961-01-08,https://www.nba.com/player/78430/HISTADD-granville-waiters,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78430.png,True,78430,['CENTER'],CENTER,,1983,1,39,Drafted,waitegr01
Andre Wakefield,RET,15,GUARD,74.0,175.0,Loyola-Chicago,USA,1955-01-11,https://www.nba.com/player/78431/HISTADD-andre-wakefield,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78431.png,True,78431,['GUARD'],GUARD,,1978,1,107,Drafted,wakefan01
Neal Walk,RET,41,CENTER,82.0,220.0,Florida,USA,1948-07-29,https://www.nba.com/player/78432/HISTADD-neal-walk,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78432.png,True,78432,['CENTER'],CENTER,,1969,1,2,Drafted,walkne010
Andy Walker,RET,41,GUARD,76.0,190.0,Niagara,USA,1955-03-25,https://www.nba.com/player/78433/HISTADD-andy-walker,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78433.png,True,78433,['GUARD'],GUARD,,1976,1,111,Drafted,walkean01
Antoine Walker,RET,24,FORWARD,81.0,245.0,Kentucky,USA,1976-08-12,https://www.nba.com/player/952/antoine-walker,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/952.png,False,952,['FORWARD'],FORWARD,,1996,1,6,Drafted,walkean02
Brady Walker,RET,,FORWARD,78.0,205.0,Brigham Young,USA,1921-03-15,https://www.nba.com/player/78434/HISTADD-brady-walker,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78434.png,True,78434,['FORWARD'],FORWARD,,1948,1,,Drafted,walkebr01
Chet Walker,RET,25,FORWARD,79.0,212.0,Bradley,USA,1940-02-22,https://www.nba.com/player/78435/HISTADD-chet-walker,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78435.png,True,78435,['FORWARD'],FORWARD,,1962,1,12,Drafted,walkech01
Darrell Walker,RET,20,GUARD,76.0,180.0,Arkansas,USA,1961-03-09,https://www.nba.com/player/78437/HISTADD-darrell-walker,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78437.png,True,78437,['GUARD'],GUARD,,1983,1,12,Drafted,walkeda01
Foots Walker,RET,1,GUARD,73.0,172.0,West Georgia,USA,1951-05-21,https://www.nba.com/player/78436/HISTADD-foots-walker,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78436.png,True,78436,['GUARD'],GUARD,,1974,1,38,Drafted,walkefo01
Henry Walker,RET,5,FORWARD,78.0,235.0,Kansas State,USA,1987-10-09,https://www.nba.com/player/201611/henry-walker,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201611.png,False,201611,['FORWARD'],FORWARD,,2008,2,47,Drafted,walkehe01
Horace Walker,RET,15,FORWARD,75.0,210.0,Michigan State,USA,1938-04-17,https://www.nba.com/player/78438/HISTADD-horace-walker,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78438.png,True,78438,['FORWARD'],FORWARD,,1960,1,30,Drafted,walkeho01
Jabari Walker,POR,34,FORWARD,79.0,237.0,Colorado,USA,2002-07-30,https://www.nba.com/player/1631133/jabari-walker,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631133.png,False,1631133,['FORWARD'],FORWARD,,2022,2,57,Drafted,walkeja01
Jarace Walker,IND,5,FORWARD,79.0,235.0,Houston,USA,2003-09-04,https://www.nba.com/player/1641716/jarace-walker,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641716.png,False,1641716,['FORWARD'],FORWARD,,2023,1,8,Drafted,walkeja02
Jimmy Walker,RET,24,GUARD,75.0,195.0,Providence,USA,1944-04-08,https://www.nba.com/player/78439/HISTADD-jimmy-walker,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78439.png,True,78439,['GUARD'],GUARD,,1967,1,1,Drafted,walkeji01
Kemba Walker,RET,,GUARD,72.0,184.0,Connecticut,USA,1990-05-08,https://www.nba.com/player/202689/kemba-walker,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202689.png,False,202689,['GUARD'],GUARD,,2011,1,9,Drafted,walkeke01
Kenny Walker,RET,15,FORWARD,80.0,210.0,Kentucky,USA,1964-08-18,https://www.nba.com/player/78440/HISTADD-kenny-walker,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78440.png,True,78440,['FORWARD'],FORWARD,,1986,1,5,Drafted,walkeke02
MJ Walker,RET,,GUARD,77.0,213.0,Florida State,USA,1998-03-28,https://www.nba.com/player/1630640/mj-walker,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630640.png,False,1630640,['GUARD'],GUARD,,0,0,0,UDF,walkemj01
Phil Walker,RET,20,GUARD,75.0,180.0,Millersville,USA,1956-03-20,https://www.nba.com/player/78441/HISTADD-phil-walker,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78441.png,True,78441,['GUARD'],GUARD,,1977,1,39,Drafted,walkeph01
Samaki Walker,RET,,FORWARD,81.0,260.0,Louisville,USA,1976-02-25,https://www.nba.com/player/955/samaki-walker,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/955.png,False,955,['FORWARD'],FORWARD,,1996,1,9,Drafted,walkesa01
Wally Walker,RET,42,FORWARD,80.0,190.0,Virginia,USA,1954-07-18,https://www.nba.com/player/78442/HISTADD-wally-walker,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78442.png,True,78442,['FORWARD'],FORWARD,,1976,1,5,Drafted,walkewa01
Lonnie Walker IV,PHI,16,GUARD-FORWARD,76.0,204.0,Miami,USA,1998-12-14,https://www.nba.com/player/1629022/lonnie-walker,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629022.png,False,1629022,"['GUARD', 'FORWARD']",GUARD,FORWARD,2018,1,18,Drafted,walkelo01
John Wall,RET,,GUARD,75.0,210.0,Kentucky,USA,1990-09-06,https://www.nba.com/player/202322/john-wall,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202322.png,False,202322,['GUARD'],GUARD,,2010,1,1,Drafted,walljo010
Ben Wallace,RET,6,FORWARD-CENTER,81.0,240.0,Virginia Union,USA,1974-09-10,https://www.nba.com/player/1112/ben-wallace,False,False,True,17.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1112.png,False,1112,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,wallabe01
Cason Wallace,OKC,22,GUARD,75.0,195.0,Kentucky,USA,2003-11-07,https://www.nba.com/player/1641717/cason-wallace,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png,False,1641717,['GUARD'],GUARD,,2023,1,10,Drafted,wallaca01
Gerald Wallace,RET,45,FORWARD,79.0,220.0,Alabama,USA,1982-07-23,https://www.nba.com/player/2222/gerald-wallace,False,False,True,15.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2222.png,False,2222,['FORWARD'],FORWARD,,2001,1,25,Drafted,wallage01
John Wallace,RET,22,FORWARD,81.0,225.0,Syracuse,USA,1974-02-09,https://www.nba.com/player/961/john-wallace,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/961.png,False,961,['FORWARD'],FORWARD,,1996,1,18,Drafted,wallajo01
Keaton Wallace,ATL,2,GUARD,75.0,185.0,Texas-San Antonio,USA,1999-02-26,https://www.nba.com/player/1630811/keaton-wallace,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png,False,1630811,['GUARD'],GUARD,,0,0,0,UDF,wallake01
Michael Wallace,RET,,GUARD,73.0,185.0,Scranton,USA,1918-07-12,https://www.nba.com/player/78443/HISTADD-red-wallace,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78443.png,True,78443,['GUARD'],GUARD,,0,0,0,UDF,wallami01
Rasheed Wallace,RET,,FORWARD-CENTER,83.0,230.0,North Carolina,USA,1974-09-17,https://www.nba.com/player/739/rasheed-wallace,False,False,True,16.0,https://cdn.nba.com/headshots/nba/latest/1040x760/739.png,False,739,"['FORWARD', 'CENTER']",FORWARD,CENTER,1995,1,4,Drafted,wallara01
Tyrone Wallace,RET,,GUARD,77.0,198.0,California,USA,1994-06-10,https://www.nba.com/player/1627820/tyrone-wallace,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627820.png,False,1627820,['GUARD'],GUARD,,2016,2,60,Drafted,wallaty01
Dwight Waller,RET,16-34,FORWARD,78.0,220.0,Tennessee State,USA,1945-10-05,https://www.nba.com/player/78444/HISTADD-dwight-waller,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78444.png,True,78444,['FORWARD'],FORWARD,,1968,1,131,Drafted,walledw01
Jamie Waller,RET,15,FORWARD,76.0,215.0,Virginia Union,USA,1964-11-20,https://www.nba.com/player/78445/HISTADD-jamie-waller,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78445.png,True,78445,['FORWARD'],FORWARD,,1987,1,48,Drafted,walleja01
Jim Walsh,RET,20,FORWARD,76.0,195.0,Stanford,USA,1931-08-29,https://www.nba.com/player/78446/HISTADD-jim-walsh,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78446.png,True,78446,['FORWARD'],FORWARD,,1952,1,,Drafted,walshji01
Jordan Walsh,BOS,27,GUARD,78.0,205.0,Arkansas,USA,2004-03-03,https://www.nba.com/player/1641775/jordan-walsh,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png,False,1641775,['GUARD'],GUARD,,2023,2,38,Drafted,walshjo01
Matt Walsh,RET,,GUARD-FORWARD,78.0,220.0,Florida,USA,1982-12-02,https://www.nba.com/player/101190/matt-walsh,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101190.png,False,101190,"['GUARD', 'FORWARD']",GUARD,FORWARD,0,0,0,UDF,walshma01
Ja'Kobe Walter,TOR,14,GUARD,77.0,180.0,Baylor,USA,2004-09-04,https://www.nba.com/player/1642266/jakobe-walter,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642266.png,False,1642266,['GUARD'],GUARD,,2024,1,19,Drafted,walteja01
Rex Walters,RET,,GUARD,76.0,190.0,Kansas,USA,1970-03-12,https://www.nba.com/player/777/rex-walters,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/777.png,False,777,['GUARD'],GUARD,,1993,1,16,Drafted,waltere01
Paul Walther,RET,5,GUARD,74.0,160.0,Tennessee,USA,1927-03-23,https://www.nba.com/player/78447/HISTADD-lefty-walther,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78447.png,True,78447,['GUARD'],GUARD,,1949,1,,Drafted,walthpa01
Rabbit Walthour,RET,,GUARD,71.0,163.0,Benjamin Franklin HS (NY),USA,1905-04-11,https://www.nba.com/player/78448/HISTADD-rabbit-walthour,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78448.png,True,78448,['GUARD'],GUARD,,0,0,0,UDF,walthra01
Bill Walton,RET,32,CENTER,83.0,210.0,UCLA,USA,1952-11-05,https://www.nba.com/player/78450/HISTADD-bill-walton,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78450.png,True,78450,['CENTER'],CENTER,,1974,1,1,Drafted,waltobi01
Lloyd Walton,RET,11  12,GUARD,72.0,160.0,Marquette,USA,1953-11-23,https://www.nba.com/player/78449/HISTADD-lloyd-walton,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78449.png,True,78449,['GUARD'],GUARD,,1976,1,40,Drafted,waltoll01
Luke Walton,RET,4,FORWARD,80.0,235.0,Arizona,USA,1980-03-28,https://www.nba.com/player/2575/luke-walton,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2575.png,False,2575,['FORWARD'],FORWARD,,2003,2,32,Drafted,waltolu01
Derrick Walton Jr.,RET,,GUARD,72.0,185.0,Michigan,USA,1995-04-03,https://www.nba.com/player/1628476/derrick-walton-jr,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628476.png,False,1628476,['GUARD'],GUARD,,0,0,0,UDF,waltode01
Brad Wanamaker,RET,,GUARD,75.0,210.0,Pittsburgh,USA,1989-07-25,https://www.nba.com/player/202954/brad-wanamaker,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202954.png,False,202954,['GUARD'],GUARD,,0,0,0,UDF,wanambr01
Bobby Wanzer,RET,9,GUARD,72.0,170.0,Seton Hall,USA,1921-06-04,https://www.nba.com/player/78453/HISTADD-bobby-wanzer,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78453.png,True,78453,['GUARD'],GUARD,,1948,1,10,Drafted,wanzebo01
Perry Warbington,RET,22,GUARD,74.0,165.0,Georgia Southern,USA,1952-09-07,https://www.nba.com/player/78454/HISTADD-perry-warbington,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78454.png,True,78454,['GUARD'],GUARD,,1974,1,145,Drafted,warbipe01
Charlie Ward,RET,,GUARD,74.0,185.0,Florida State,USA,1970-10-12,https://www.nba.com/player/369/charlie-ward,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/369.png,False,369,['GUARD'],GUARD,,1994,1,26,Drafted,wardch010
Gerry Ward,RET,6,GUARD,76.0,195.0,Boston College,USA,1941-09-06,https://www.nba.com/player/78455/HISTADD-gerry-ward,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78455.png,True,78455,['GUARD'],GUARD,,1963,1,5,Drafted,wardge010
Henry Ward,RET,15,GUARD,76.0,195.0,Jackson State,USA,1952-01-30,https://www.nba.com/player/78456/HISTADD-henry-ward,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78456.png,True,78456,['GUARD'],GUARD,,1975,1,99,Drafted,wardhe010
Casper Ware,RET,,NAN,,,Long Beach State,USA,1990-01-17,https://www.nba.com/player/203810/casper-ware,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203810.png,False,203810,['NAN'],NAN,,0,0,0,UDF,wareca010
Jim Ware,RET,27,FORWARD,79.0,210.0,Oklahoma City,USA,1944-05-02,https://www.nba.com/player/78457/HISTADD-jim-ware,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78457.png,True,78457,['FORWARD'],FORWARD,,1966,1,26,Drafted,wareji010
Kel'el Ware,MIA,7,CENTER,84.0,230.0,Indiana,USA,2004-04-20,https://www.nba.com/player/1642276/kelel-ware,True,False,False,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png,False,1642276,['CENTER'],CENTER,,2024,1,15,Drafted,wareke010
Ben Warley,RET,33,FORWARD,77.0,200.0,Tennessee State,USA,1936-09-04,https://www.nba.com/player/78458/HISTADD-ben-warley,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78458.png,True,78458,['FORWARD'],FORWARD,,1961,1,6,Drafted,warlebe01
Bob Warlick,RET,23,GUARD,77.0,200.0,Pepperdine,USA,1941-03-20,https://www.nba.com/player/78459/HISTADD-bob-warlick,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78459.png,True,78459,['GUARD'],GUARD,,0,0,0,UDF,warlibo01
Cornell Warner,RET,20-30,FORWARD,81.0,220.0,Jackson State,USA,1948-08-12,https://www.nba.com/player/78460/HISTADD-cornell-warner,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78460.png,True,78460,['FORWARD'],FORWARD,,1970,1,24,Drafted,warneco01
Jameel Warney,RET,,FORWARD,80.0,260.0,Stony Brook,USA,1994-01-31,https://www.nba.com/player/1627866/jameel-warney,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627866.png,False,1627866,['FORWARD'],FORWARD,,0,0,0,UDF,warneja01
Johnny Warren,RET,,GUARD,75.0,180.0,St. John's (NY),USA,1947-07-07,https://www.nba.com/player/78461/HISTADD-johnny-warren,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78461.png,True,78461,['GUARD'],GUARD,,1969,1,11,Drafted,warrejo01
T.J. Warren,RET,24,FORWARD,80.0,220.0,North Carolina State,USA,1993-09-05,https://www.nba.com/player/203933/tj-warren,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203933.png,False,203933,['FORWARD'],FORWARD,,2014,1,14,Drafted,warretj01
Willie Warren,RET,13,GUARD,76.0,203.0,Oklahoma,USA,1989-10-22,https://www.nba.com/player/202378/willie-warren,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202378.png,False,202378,['GUARD'],GUARD,,2010,2,54,Drafted,warrewi01
Bryan Warrick,RET,12,GUARD,77.0,195.0,St. Joseph's (PA),USA,1959-07-22,https://www.nba.com/player/78462/HISTADD-bryan-warrick,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78462.png,True,78462,['GUARD'],GUARD,,1982,1,25,Drafted,warribr01
Hakim Warrick,RET,,FORWARD,81.0,219.0,Syracuse,USA,1982-07-08,https://www.nba.com/player/101124/hakim-warrick,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101124.png,False,101124,['FORWARD'],FORWARD,,2005,1,19,Drafted,warriha01
Chris Washburn,RET,50,CENTER,83.0,225.0,North Carolina State,USA,1965-05-13,https://www.nba.com/player/78463/HISTADD-chris-washburn,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78463.png,True,78463,['CENTER'],CENTER,,1986,1,3,Drafted,washbch01
Julian Washburn,RET,4,FORWARD-GUARD,80.0,209.0,Texas-El Paso,USA,1991-12-18,https://www.nba.com/player/1627395/julian-washburn,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627395.png,False,1627395,"['FORWARD', 'GUARD']",FORWARD,GUARD,2015,1,,Drafted,washbju01
Bobby Washington,RET,17,GUARD,71.0,175.0,Eastern Kentucky,USA,1947-07-11,https://www.nba.com/player/78469/HISTADD-bobby-washington,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78469.png,True,78469,['GUARD'],GUARD,,0,0,0,UDF,washibo01
Darius Washington,RET,,GUARD,74.0,195.0,Memphis,USA,1985-12-06,https://www.nba.com/player/200827/darius-washington,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200827.png,False,200827,['GUARD'],GUARD,,0,0,0,UDF,washida01
Duane Washington,RET,10,GUARD,76.0,195.0,Middle Tennessee State,USA,1964-08-31,https://www.nba.com/player/78464/HISTADD-duane-washington,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78464.png,True,78464,['GUARD'],GUARD,,1987,1,36,Drafted,washidu01
Dwayne Washington,RET,31,GUARD,74.0,190.0,Syracuse,USA,1964-01-06,https://www.nba.com/player/78465/HISTADD-pearl-washington,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78465.png,True,78465,['GUARD'],GUARD,,1986,1,13,Drafted,washidw01
Eric Washington,RET,14,FORWARD-GUARD,76.0,190.0,Alabama,USA,1974-03-24,https://www.nba.com/player/1540/eric-washington,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1540.png,False,1540,"['FORWARD', 'GUARD']",FORWARD,GUARD,1997,2,46,Drafted,washier01
Jim Washington,RET,12,FORWARD,79.0,210.0,Villanova,USA,1943-07-01,https://www.nba.com/player/78466/HISTADD-jim-washington,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78466.png,True,78466,['FORWARD'],FORWARD,,1965,1,6,Drafted,washiji01
Kermit Washington,RET,3,FORWARD,80.0,230.0,American,USA,1951-09-17,https://www.nba.com/player/78467/HISTADD-kermit-washington,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78467.png,True,78467,['FORWARD'],FORWARD,,1973,1,5,Drafted,washike01
P.J. Washington,DAL,25,FORWARD,78.0,230.0,Kentucky,USA,1998-08-23,https://www.nba.com/player/1629023/pj-washington,True,False,False,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png,False,1629023,['FORWARD'],FORWARD,,2019,1,12,Drafted,washipj01
Richard Washington,RET,31,FORWARD,82.0,220.0,UCLA,USA,1955-07-15,https://www.nba.com/player/78468/HISTADD-richard-washington,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78468.png,True,78468,['FORWARD'],FORWARD,,1976,1,3,Drafted,washiri01
Stan Washington,RET,20,GUARD,76.0,190.0,San Diego,USA,1952-01-23,https://www.nba.com/player/78470/HISTADD-stan-washington,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78470.png,True,78470,['GUARD'],GUARD,,1974,1,66,Drafted,washist01
Wilson Washington,RET,42,FORWARD,81.0,227.0,Old Dominion,USA,1955-08-03,https://www.nba.com/player/78471/HISTADD-wilson-washington,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/78471.png,True,78471,['FORWARD'],FORWARD,,1977,1,25,Drafted,washiwi01
Duane Washington Jr.,RET,1,GUARD,74.0,197.0,Ohio State,Germany,2000-03-24,https://www.nba.com/player/1630613/duane-washington-jr,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630613.png,False,1630613,['GUARD'],GUARD,,0,0,0,UDF,washidu02
TyTy Washington Jr.,PHX,14,GUARD,75.0,195.0,Kentucky,USA,2001-11-15,https://www.nba.com/player/1631102/tyty-washington,True,False,False,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631102.png,False,1631102,['GUARD'],GUARD,,2022,1,29,Drafted,washity01
Yuta Watanabe,RET,18,GUARD-FORWARD,81.0,215.0,George Washington,Japan,1994-10-13,https://www.nba.com/player/1629139/yuta-watanabe,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629139.png,False,1629139,"['GUARD', 'FORWARD']",GUARD,FORWARD,0,0,0,UDF,watanyu01
Tremont Waters,RET,,GUARD,70.0,175.0,Louisiana State,USA,1998-01-10,https://www.nba.com/player/1629682/tremont-waters,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629682.png,False,1629682,['GUARD'],GUARD,,2019,2,51,Drafted,watertr01
Lindy Waters III,DET,43,FORWARD,78.0,210.0,Oklahoma State,USA,1997-07-28,https://www.nba.com/player/1630322/lindy-waters-iii,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png,False,1630322,['FORWARD'],FORWARD,,0,0,0,UDF,waterli01
